Name,State,latitude,Longitude,Elivation,Est. Population
Longting,,26.90,95.16,2680,515
Lozaphohemi,,25.63,94.49,4261,25126
Lukhambi,,24.89,93.61,2664,5811
Lumshken,,25.32,92.26,3723,4608
Lung Chhuan,,24.02,92.77,1765,4352
Lunghan,,25.17,94.44,6128,5417
Lungithang,,26.03,94.34,2057,4477
Lyngkhai,,25.50,91.61,5180,12398
Magarvara,,20.39,72.85,36,14829
Magdala,,21.10,72.75,0,297230
Magdalla,,21.10,72.75,0,297230
Mai,,27.48,93.81,5029,1162
Maibi Khunou,,24.49,94.13,4189,6598
Mailavani Chinna Lanka,,16.33,81.68,0,32721
Mainorāipāra,,24.02,92.10,387,19811
Maji,,25.90,92.35,1801,8940
Maklibari,,24.07,91.40,39,77602
Malala,,20.71,70.95,13,10551
Malandubi,,26.71,90.48,354,20115
Malangpa,,25.22,92.83,3441,4049
Malconda,,15.43,74.23,830,7193
Malikpur,,31.96,74.65,830,45412
Manda,,25.73,90.46,830,10857
Mandrem,,15.67,73.72,52,24266
Mangan,,27.51,88.52,3349,12521
Mangan Bazar,,27.51,88.52,3349,12521
Mangang,,27.51,88.52,3349,12521
Mangen,,27.51,88.52,3349,12521
Mangrol,,26.24,77.35,830,40734
Manhala Kalan,,31.53,74.55,830,239100
Manhiala Kalan,,31.53,74.55,830,239100
Manhiāla,,31.53,74.55,830,239100
Manhiāla Khurd,,31.53,74.55,830,239100
Manipur Road,,25.88,93.77,830,47086
Manitiram,,27.81,94.53,1958,1231
Manu,,27.52,88.58,5869,11344
Manul,,27.52,88.58,5869,11344
Maohing,,25.20,93.90,5029,14621
Marabume,,25.47,94.36,5029,17040
Masabdisa,,25.66,93.17,830,9802
Mathani,,26.62,93.51,334,23208
Matvad,,20.92,72.83,29,33289
Matwad,,20.92,72.83,29,33289
Mawdem,,25.23,91.97,1669,15141
Mawlashin,,24.91,94.69,4258,429
Mawlat,,25.36,91.97,1847,11483
Mawmarin,,25.41,91.10,2509,5350
Mawphaniaw,,25.69,91.61,4530,9536
Mawshaladiang,,25.78,92.18,3349,8704
Mawskei,,25.86,91.55,974,13194
Mawsmai,,26.10,91.88,265,19819
Medum,,27.13,93.27,4288,653
Mehegam Bangal,,21.67,72.76,29,11938
Mehegaum,,21.67,72.76,29,11938
Mencurem,,15.70,73.88,9,27409
Mesangpi,,26.20,94.19,1998,9382
Midpu,,27.21,93.76,1922,10380
Mikirgaon,,26.36,93.25,1879,16344
Mikirgaon,,26.14,92.69,131,62674
Miklipara,,25.05,92.43,830,19602
Mohara,,19.87,82.50,931,18545
Molong,,24.97,93.15,288,17285
Molsang,,24.91,94.69,4258,429
Mome Samdong,,27.91,88.71,16827,0
Mongon,,24.29,93.37,2509,2533
Mongon,,27.51,88.52,3349,12521
Morgim,,15.63,73.73,19,46222
Moshrat,,25.58,92.52,3349,7993
Muiri,,27.78,93.61,2509,2429
Muktapur,,26.42,91.74,121,58614
Mula Kot,,31.65,74.54,830,239025
Muphlang,,25.41,92.18,4356,20574
Murbari,,24.18,91.82,55,31652
Murhari,,24.18,91.82,55,31652
Mutong,,25.34,92.59,3490,4191
Mynska,,25.45,92.44,3589,9420
Mākliban,,24.07,91.40,39,77602
Nagaon,,26.71,92.59,383,10022
Nagg Tel,,27.54,88.62,5029,1850
Nalong,,25.41,93.80,5364,3571
Nandgom,,19.76,72.69,26,41265
Nanga,,27.54,88.62,5029,1850
Naolsalia,,26.59,94.03,390,31940
Navapur,,19.79,72.69,19,52236
Navlakhi,,22.96,70.45,32,5835
Nawapur,,19.79,72.69,19,52236
Nawābandar,,20.74,71.07,3,18462
Naya Bāzār,,27.13,88.24,2844,23753
Nepāligāon,,26.97,93.98,265,26196
Netorlim,,15.08,74.22,367,8236
Ngarikhunaw,,25.34,94.33,4603,20464
Ngawar,,25.28,94.26,4491,23041
Niausao,,26.82,95.28,4189,6408
Nibia,,28.02,81.62,830,51788
Nij Charaibahi,,26.29,92.45,177,61686
Nokhu,,26.15,95.02,3576,3201
Nonghab,,25.95,92.03,2509,7503
Nongianglang,,25.79,91.09,2020,7111
Nongiapam,,25.79,91.19,2053,9097
Nongjri,,25.75,91.91,3349,12881
Nongkia,,25.22,91.47,898,8952
Nongkrem,,25.72,91.46,3349,7038
Nongkrong,,25.58,91.08,3349,3725
Nonglwai,,25.45,91.33,4376,7263
Nongmen,,25.34,90.90,1669,3725
Nongsning,,25.25,92.40,1958,4244
Nongtraw,,25.68,92.02,2854,8536
Nowapur,,19.79,72.69,19,52236
Nundem,,15.07,74.20,830,11344
Nungon,,25.01,94.41,4465,6478
Nāchugunta,,15.79,80.89,36,16069
Nālāpāra,,25.89,91.18,830,23175
Nāndgaon,,19.76,72.69,26,41265
Nātudaha,,23.65,88.67,42,104602
Odhar,,31.66,74.54,830,194357
Odxel,,15.45,73.82,0,71515
Oinam,,24.69,93.81,2536,75827
Orxel,,15.45,73.82,0,71515
Oting,,26.84,94.96,1000,14664
Oxel,,15.28,74.25,1669,7339
Ozorim,,15.68,73.88,82,38697
Pa-li-chia-ssu,,32.70,79.45,14268,0
Pachi,,27.23,88.47,3349,26547
Padamchen,,27.24,88.77,5928,13819
Pahumaragaon,,27.12,94.11,275,55340
Pakhriapura,,24.07,76.96,1669,13362
Pale,,15.36,73.88,22,134883
Pamionchi,,27.30,88.25,5331,17108
Pamsanngul,,25.41,91.66,5262,9459
