Name,State,latitude,Longitude,Elivation,Est. Population
Madegaon,Andhra Pradesh,18.42,78.24,1768,24670
Madegudem,Andhra Pradesh,17.14,80.90,830,27823
Madegudem,Andhra Pradesh,16.89,80.64,311,31877
Madegudem,Andhra Pradesh,16.95,80.74,360,32511
Madegudem,Andhra Pradesh,16.92,80.74,298,32615
Madegudem,Andhra Pradesh,17.24,81.12,830,12842
Madenahalli,Andhra Pradesh,14.99,76.81,1811,67155
Madepalli,Andhra Pradesh,18.83,78.00,1108,32891
Madepalli,Andhra Pradesh,18.40,78.15,1856,17994
Madevāripeta,Andhra Pradesh,18.51,83.78,137,45191
Madgi,Andhra Pradesh,17.69,77.47,1955,36216
Madha Edavalli,Andhra Pradesh,17.22,79.21,1007,30895
Madhappaguda,Andhra Pradesh,17.29,78.71,1669,37809
Madhapur,Andhra Pradesh,17.87,77.77,1765,24373
Madhapur,Andhra Pradesh,17.52,79.96,849,39081
Madhapur,Andhra Pradesh,17.89,78.77,1765,29112
Madhapuram,Andhra Pradesh,17.62,79.37,1053,25609
Madhapuram,Andhra Pradesh,18.95,78.94,830,18517
Madharam,Andhra Pradesh,17.41,78.75,1669,36081
Madharam,Andhra Pradesh,17.78,79.23,1669,31254
Madharam,Andhra Pradesh,18.97,79.45,830,94467
Madharam,Andhra Pradesh,17.43,78.91,1200,31406
Madhavapuram,Andhra Pradesh,16.89,81.31,219,32165
Madhavaram,Andhra Pradesh,15.94,77.36,1036,37007
Madhavaram,Andhra Pradesh,16.89,81.59,59,75146
Madhavaram,Andhra Pradesh,17.51,80.81,259,9508
Madhavaram,Andhra Pradesh,17.61,81.09,154,16064
Madhavaram,Andhra Pradesh,17.47,81.21,190,7066
Madhavaram,Andhra Pradesh,15.32,77.95,1102,18360
Madhavaram East,Andhra Pradesh,16.91,80.71,298,30915
Madhavarangarayapuram,Andhra Pradesh,18.46,83.50,288,42983
Madhavāyapālem,Andhra Pradesh,16.44,81.71,3,163931
Madhawaram,Andhra Pradesh,16.56,77.50,1243,21462
Madhayarayanigudem,Andhra Pradesh,16.92,79.88,377,48066
Madhira,Andhra Pradesh,16.92,80.36,137,53523
Madhirapādu,Andhra Pradesh,16.47,80.86,19,78027
Madhra,Andhra Pradesh,16.92,80.36,137,53523
Madhudi,Andhra Pradesh,13.82,77.02,2509,129274
Madhupada,Andhra Pradesh,18.21,83.27,249,37854
Madhupada Agraharam,Andhra Pradesh,18.31,83.34,216,47542
Madhupāda,Andhra Pradesh,18.19,83.56,82,39049
Madhupām,Andhra Pradesh,18.35,83.72,114,49874
Madhuvitipadu,Andhra Pradesh,17.58,81.78,1788,2697
Madhwaram,Andhra Pradesh,17.59,78.31,1774,48813
Madhāgudem,Andhra Pradesh,19.33,79.51,830,57928
Madhāpur,Andhra Pradesh,17.44,78.39,1827,368350
Madicherla,Andhra Pradesh,17.50,81.82,915,4364
Madiga Gudur,Andhra Pradesh,17.10,78.51,1984,22506
Madigageri,Andhra Pradesh,14.45,77.97,1030,13239
Madigapalle,Andhra Pradesh,15.81,80.24,22,38233
Madigapalle,Andhra Pradesh,15.80,80.24,22,39961
Madigapalle,Andhra Pradesh,15.97,80.70,39,40155
Madigegudem,Andhra Pradesh,16.27,80.90,52,40560
Madigegudem,Andhra Pradesh,16.37,80.90,19,127286
Madigegūdem,Andhra Pradesh,16.41,80.83,19,128972
Madigegūdem,Andhra Pradesh,16.36,80.88,19,130712
Madigepalle,Andhra Pradesh,16.39,80.70,45,49164
Madigubba,Andhra Pradesh,13.99,77.19,2509,39607
Madiguda,Andhra Pradesh,18.89,83.75,1669,12427
Madigudem,Andhra Pradesh,16.77,81.07,154,84122
Madigunta,Andhra Pradesh,17.84,82.46,2608,13934
Madigūdem,Andhra Pradesh,16.82,80.87,262,98938
Madigūdem,Andhra Pradesh,16.84,80.92,203,38344
Madikapalem,Andhra Pradesh,16.01,80.25,39,38964
Madikattu,Andhra Pradesh,17.39,78.06,1948,29763
Madikonda,Andhra Pradesh,17.96,79.48,994,42084
Madikonda,Andhra Pradesh,17.86,79.78,849,45399
Madikunta,Andhra Pradesh,19.30,79.38,830,13909
Madimadlu,Andhra Pradesh,17.96,82.05,1669,7115
Madimadugalu,Andhra Pradesh,15.15,78.00,1669,15458
Madimanguda,Andhra Pradesh,18.84,83.73,1853,12034
Madimankal,Andhra Pradesh,16.11,78.75,2509,3129
Madinagud,Andhra Pradesh,17.49,78.35,1820,169206
Madinagudem,Andhra Pradesh,17.49,78.35,1820,169206
Madinapadu,Andhra Pradesh,16.64,79.75,278,37423
Madipalli,Andhra Pradesh,18.55,79.93,830,11090
Madipalli,Andhra Pradesh,17.59,79.70,895,38531
Madipalli,Andhra Pradesh,18.26,79.48,830,56926
Madipalli Tanda,Andhra Pradesh,17.58,79.72,853,38368
Madira,Andhra Pradesh,16.92,80.36,137,53523
Madira,Andhra Pradesh,17.93,79.79,905,53967
Madire,Andhra Pradesh,15.84,77.11,1187,47236
Madire,Andhra Pradesh,15.65,77.21,1669,66640
Madividi,Andhra Pradesh,18.09,82.49,3592,11497
Madkamvarigudem,Andhra Pradesh,17.19,81.17,383,17049
Madlapadu,Andhra Pradesh,18.40,83.10,2913,19100
Madlapalli,Andhra Pradesh,18.81,79.85,367,9320
Madmadka,Andhra Pradesh,16.65,78.94,830,29883
Madnakal,Andhra Pradesh,16.12,77.69,1207,24043
Madnapur,Andhra Pradesh,19.59,78.42,1095,17598
Madnoor,Andhra Pradesh,18.50,77.63,1240,34793
Madnāpuram,Andhra Pradesh,17.81,79.90,843,32624
Madnūr,Andhra Pradesh,18.50,77.63,1240,34793
Madra,Andhra Pradesh,19.78,78.78,830,12108
Madrapuram,Andhra Pradesh,17.37,79.92,898,31147
Madravi,Andhra Pradesh,18.06,82.88,2509,8391
Madre Damanapet,Andhra Pradesh,18.97,79.09,830,31369
Madrumamidi,Andhra Pradesh,18.00,82.51,3749,10737
Madtalavalasa,Andhra Pradesh,18.63,83.17,830,34516
Maduchantapalli,Andhra Pradesh,17.65,78.69,1840,27175
Madugula Tānda,Andhra Pradesh,17.46,77.82,2007,35640
Madugupalle,Andhra Pradesh,14.71,77.89,1167,17560
Madulli,Andhra Pradesh,18.07,78.25,1669,46806
Madupalle,Andhra Pradesh,17.35,81.62,65,10742
Madupalli,Andhra Pradesh,18.54,79.46,830,27695
Madur,Andhra Pradesh,17.69,78.28,1820,30666
Madurakanakunta,Andhra Pradesh,17.49,78.33,1827,156449
Madure Arepalli,Andhra Pradesh,18.35,78.40,1669,58237
Madurepalle,Andhra Pradesh,13.87,77.76,2509,46187
Madurgukota,Andhra Pradesh,17.94,81.97,2509,3441
Madurāpuram,Andhra Pradesh,16.98,78.26,1922,31503
Madutla,Andhra Pradesh,18.71,78.90,1062,53676
Madyam,Andhra Pradesh,17.83,82.36,3349,9711
Madāram,Andhra Pradesh,18.71,79.85,830,13273
Madārgūdem,Andhra Pradesh,16.67,79.13,830,19370
Madāripet,Andhra Pradesh,19.01,79.14,830,22020
Madārupuram,Andhra Pradesh,15.52,77.92,1118,19395
Madāsvāripālem,Andhra Pradesh,16.44,80.78,19,83923
Magadala,Andhra Pradesh,18.71,83.80,830,15197
Magallu,Andhra Pradesh,16.81,80.32,124,62554
Magapayavalasa,Andhra Pradesh,18.72,83.75,1948,8208
Magatapālem,Andhra Pradesh,17.92,82.59,3349,11011
Magdūmpur,Andhra Pradesh,18.30,77.90,1669,36491
Magguru,Andhra Pradesh,18.59,83.62,173,58690
Magi,Andhra Pradesh,18.23,77.91,1669,28994
Maguru,Andhra Pradesh,18.75,83.52,318,47079
Magutaguda,Andhra Pradesh,17.21,78.28,1794,20972
Mahadevapuram,Andhra Pradesh,17.84,80.92,180,18620
Mahadevnagar,Andhra Pradesh,19.49,78.35,1669,14401
Mahadevpet,Andhra Pradesh,16.50,78.19,1669,33096
Mahadāpur,Andhra Pradesh,18.43,77.56,1669,30579
Mahagaon,Andhra Pradesh,19.50,78.83,1669,12092
Mahagaon,Andhra Pradesh,19.30,78.96,1699,9209
Mahagaon,Andhra Pradesh,19.56,79.37,1030,11256
Mahagaon Buzurg,Andhra Pradesh,19.18,77.98,1253,29579
Mahal,Andhra Pradesh,13.78,78.79,1669,26572
Mahalakshmipuram,Andhra Pradesh,18.66,83.96,95,33410
Mahalingapalli,Andhra Pradesh,18.06,79.43,984,34354
Mahalneknāpur,Andhra Pradesh,17.39,78.37,1692,524034
Mahamdāpur,Andhra Pradesh,17.38,78.98,1085,26257
Mahankaligudem,Andhra Pradesh,16.70,79.70,150,30730
Mahantapuram,Andhra Pradesh,14.30,77.06,2047,32739
Mahapathpur,Andhra Pradesh,17.88,77.76,1784,24813
Maharajapeta West,Andhra Pradesh,18.17,83.45,183,79390
Mahartapuram,Andhra Pradesh,18.78,83.90,177,33847
Mahasingi,Andhra Pradesh,18.77,83.87,291,45328
Mahatam,Andhra Pradesh,18.76,78.04,1207,68112
Mahboobabad,Andhra Pradesh,17.60,80.00,830,69028
Mahboobnagar,Andhra Pradesh,16.74,77.99,1669,185269
Mahbubabad,Andhra Pradesh,19.16,79.42,994,15183
Mahbubnagaram,Andhra Pradesh,17.72,79.63,941,37578
Mahbubpalli,Andhra Pradesh,18.52,80.00,830,9737
Mahbubpalli,Andhra Pradesh,18.43,79.74,830,17984
Mahbubpet,Andhra Pradesh,17.56,79.02,1190,32370
Mahbūb Mint,Andhra Pradesh,17.38,78.51,1669,2607960
Mahbūbnagar,Andhra Pradesh,16.74,77.99,1669,185269
Mahbūbpalli,Andhra Pradesh,18.62,79.61,830,31726
Mahbūbpur,Andhra Pradesh,18.33,77.57,1669,33208
Mahbūbābād,Andhra Pradesh,17.60,80.00,830,69028
Mahbūbāti Farm,Andhra Pradesh,18.69,77.98,1181,46530
Mahdlem,Andhra Pradesh,15.86,78.33,921,33541
Mahesgwaram,Andhra Pradesh,17.93,79.86,830,73967
Maheshwaram,Andhra Pradesh,17.94,79.86,853,75703
Maheshwaram,Andhra Pradesh,17.56,78.37,1866,166713
Maheshwaram Lines,Andhra Pradesh,17.32,78.48,1719,1573184
Mahesvarapuram,Andhra Pradesh,16.62,81.16,78,89684
Maheswaram,Andhra Pradesh,17.03,77.66,1669,30130
Mahfuzbandaru,Andhra Pradesh,18.23,83.94,42,52040
Mahidpur Lines,Andhra Pradesh,17.52,78.53,1860,288504
Mahisama,Andhra Pradesh,16.95,78.52,1998,22943
Mahithapuram,Andhra Pradesh,18.36,80.55,328,4565
Mahtabkhanguda,Andhra Pradesh,17.47,78.04,2014,35576
Mahtāpuram,Andhra Pradesh,18.88,78.81,830,28337
Mahuda,Andhra Pradesh,19.42,78.37,1669,15310
Mahulva,Andhra Pradesh,17.39,78.37,1689,524034
Mahādeopur,Andhra Pradesh,18.73,79.99,374,6541
Mahādeopur,Andhra Pradesh,17.10,78.07,2509,31253
Mahādeopur,Andhra Pradesh,17.49,78.75,1669,37745
Mahādevapalle,Andhra Pradesh,14.10,77.57,1889,27486
Mahādevapuram,Andhra Pradesh,16.88,80.37,118,55410
Mahādevapuram,Andhra Pradesh,17.20,81.41,354,21362
Mahādevpur,Andhra Pradesh,16.40,78.57,1669,18020
Mahājangura,Andhra Pradesh,19.33,79.42,830,27475
Mahālakshmi Camp,Andhra Pradesh,18.72,77.91,1122,52770
Mahālingi,Andhra Pradesh,19.14,77.86,1669,22209
Mahārājapeta East,Andhra Pradesh,18.17,83.46,216,75461
Mahārājpet,Andhra Pradesh,17.41,78.23,1791,42161
Maicherla Singavaram,Andhra Pradesh,17.99,83.08,213,40657
Maicherlapalem,Andhra Pradesh,17.76,82.73,278,42751
Maicherlapālem,Andhra Pradesh,17.87,82.93,193,56329
Maidagolam,Andhra Pradesh,13.74,77.63,2509,200137
Maidamcheruvu,Andhra Pradesh,17.51,79.40,856,31324
Maidavolu,Andhra Pradesh,16.18,80.22,88,41124
Maiiāram,Andhra Pradesh,17.80,78.63,1942,37056
Maijaragunta,Andhra Pradesh,16.48,81.70,13,223170
Maikavānvāti Tānda,Andhra Pradesh,17.22,79.81,830,30441
Maikod,Andhra Pradesh,17.97,77.75,1781,32551
Mailapalle,Andhra Pradesh,14.23,77.77,1669,18612
Mailapur,Andhra Pradesh,16.79,79.06,830,17901
Mailar,Andhra Pradesh,18.31,77.62,1669,34207
Mailaram,Andhra Pradesh,18.48,77.85,1669,25888
Mailaram,Andhra Pradesh,17.50,78.12,1942,67064
Mailaram,Andhra Pradesh,17.23,78.76,1669,30519
Mailaram,Andhra Pradesh,17.80,78.63,1942,37056
Mailaram,Andhra Pradesh,17.53,78.19,1728,80170
Mailaram,Andhra Pradesh,16.33,78.58,1669,18296
Mailaram,Andhra Pradesh,18.58,78.47,1669,20313
Mailaram,Andhra Pradesh,18.23,78.92,1669,27027
Mailaram,Andhra Pradesh,19.03,79.65,830,9219
Mailaram,Andhra Pradesh,17.70,78.51,1991,36540
Mailardevpalli,Andhra Pradesh,17.32,78.45,1755,1594195
Mailasamudram,Andhra Pradesh,14.26,77.78,1669,19344
Mailavanilanka,Andhra Pradesh,16.34,81.65,3,38049
Mailavaram,Andhra Pradesh,16.76,80.64,124,34476
Mailavaram,Andhra Pradesh,18.37,79.07,967,43568
Mailawaram,Andhra Pradesh,17.07,78.57,1942,22055
Mailepalli,Andhra Pradesh,16.72,78.98,830,35110
Mailureddipalle,Andhra Pradesh,14.02,77.77,2057,27996
Mailwār Azimpet,Andhra Pradesh,17.14,77.41,1669,22573
Mailāpuram,Andhra Pradesh,14.91,76.93,1669,14471
Mailāram,Andhra Pradesh,17.54,78.80,1669,22341
Mailāram,Andhra Pradesh,16.22,78.23,1246,20559
Mailāram,Andhra Pradesh,18.66,78.34,1207,27410
Mailāram,Andhra Pradesh,18.14,79.75,902,51572
Mainampalli,Andhra Pradesh,16.66,78.92,830,36659
Maipādu,Andhra Pradesh,14.51,80.16,9,41296
Maisammagūda,Andhra Pradesh,17.56,78.46,1889,212641
Maisampalli,Andhra Pradesh,18.13,79.14,1207,30457
Maisanagudem,Andhra Pradesh,17.15,81.26,393,38807
Maisaram,Andhra Pradesh,17.13,78.43,2509,25402
Maisaram,Andhra Pradesh,17.56,78.36,1879,149077
Maisavaripalem,Andhra Pradesh,16.45,80.96,16,109446
Maisempalli,Andhra Pradesh,18.03,78.99,1669,31554
Maisireddipalli,Andhra Pradesh,17.70,78.45,2011,36020
Majarabailu,Andhra Pradesh,14.23,77.97,1778,17452
Majiguda,Andhra Pradesh,18.34,82.95,3477,17355
Majigudem,Andhra Pradesh,18.19,82.90,3349,12348
Majigudem,Andhra Pradesh,18.64,83.99,190,31395
Majigūda,Andhra Pradesh,18.39,82.79,3349,14921
Majivalasa,Andhra Pradesh,18.19,82.91,2693,11562
Majjipeta,Andhra Pradesh,18.35,83.37,232,53846
Majjiput,Andhra Pradesh,18.28,82.77,3349,14453
Majlagūdem,Andhra Pradesh,17.67,78.27,1807,30418
Majra,Andhra Pradesh,19.81,78.53,830,20448
Makargura,Andhra Pradesh,19.43,79.28,830,14891
Makarājpet,Andhra Pradesh,17.95,78.52,1758,31734
Makavaram,Andhra Pradesh,18.79,83.97,167,31182
Makavarapalem,Andhra Pradesh,17.62,82.72,124,40202
Makdampur,Andhra Pradesh,18.47,79.22,921,92419
Makdumpalli,Andhra Pradesh,17.52,78.82,1669,29417
Makhdumbhavi,Andhra Pradesh,17.27,78.84,1669,30452
Makhdumpalli,Andhra Pradesh,17.46,78.87,1669,35001
Makhdumpur,Andhra Pradesh,17.81,78.41,1830,30540
Makhdumpur,Andhra Pradesh,17.93,77.75,1692,28518
Makhdumpur,Andhra Pradesh,17.90,79.87,830,65032
Makhdumpur,Andhra Pradesh,16.30,78.51,1669,19398
Makhdūmpuram,Andhra Pradesh,18.25,83.94,36,84305
Makhtal,Andhra Pradesh,16.50,77.52,1118,23184
Makivalasa,Andhra Pradesh,18.50,83.96,36,53501
Makka,Andhra Pradesh,18.45,77.74,1148,26125
Makkapalli,Andhra Pradesh,16.81,79.04,879,18224
Makkapeta,Andhra Pradesh,16.93,79.20,830,21737
Makkenavāripālem,Andhra Pradesh,16.02,79.96,196,32922
Makkinavārigūdem,Andhra Pradesh,17.16,81.09,413,21809
Makkinavāripalle,Andhra Pradesh,14.32,77.37,1807,22152
Makkuva,Andhra Pradesh,18.66,83.27,830,48562
Maklus,Andhra Pradesh,18.75,78.11,1207,95914
Makora,Andhra Pradesh,19.72,78.68,830,23705
Makrapeta,Andhra Pradesh,18.57,83.91,164,31017
Makta,Andhra Pradesh,17.40,78.38,1758,639653
Makta Bhutpur,Andhra Pradesh,18.05,78.32,1669,41031
Makta Tanda,Andhra Pradesh,17.54,77.94,1879,32473
Maktaguda,Andhra Pradesh,17.23,78.09,1919,25889
Maktam Tanda,Andhra Pradesh,17.71,79.48,997,32818
Maktamahbubpet,Andhra Pradesh,17.52,78.35,1837,168232
Maktapalli,Andhra Pradesh,18.32,79.20,958,41723
Maktapalli,Andhra Pradesh,17.81,78.59,1893,33922
Maktādarwāzābasti,Andhra Pradesh,17.38,78.41,1669,1339938
Maktāgudam,Andhra Pradesh,17.86,77.98,1696,35397
Makudiki,Andhra Pradesh,14.40,77.02,1781,17994
Makulpet,Andhra Pradesh,19.05,79.13,830,14946
Mala Muddada,Andhra Pradesh,18.25,83.85,62,81365
Mala Narasapuram,Andhra Pradesh,17.33,82.56,39,111052
Malabavigudem,Andhra Pradesh,16.82,79.06,830,17908
Malagudem,Andhra Pradesh,17.33,79.17,967,26858
Malagudem,Andhra Pradesh,17.59,80.83,190,8215
Malagudem,Andhra Pradesh,17.60,80.92,144,8336
Malagudem,Andhra Pradesh,17.22,80.79,830,34544
Malagudem,Andhra Pradesh,17.13,80.81,830,27524
Malagudem,Andhra Pradesh,16.81,80.81,354,63742
Malagudem,Andhra Pradesh,16.79,80.91,285,76525
Malaguduru,Andhra Pradesh,17.08,78.50,2060,22401
Malagūdem,Andhra Pradesh,16.79,80.84,308,97574
Malak Chincholi,Andhra Pradesh,19.20,78.23,1213,16898
Malakacherla,Andhra Pradesh,16.82,81.20,196,27175
Malakam,Andhra Pradesh,18.34,83.72,160,50321
Malakandyam,Andhra Pradesh,18.39,83.72,68,47315
Malakapuram,Andhra Pradesh,16.72,81.14,91,219061
Malakavāripalle,Andhra Pradesh,13.98,77.98,2007,26637
Malakpet,Andhra Pradesh,17.38,78.50,1669,2607960
Malakāpuram,Andhra Pradesh,17.69,83.24,351,904428
Malakāpuram,Andhra Pradesh,15.71,77.37,1669,41466
Malamadigalagudem,Andhra Pradesh,16.14,80.33,65,44290
Malampeta,Andhra Pradesh,18.06,82.94,830,9487
Malangi,Andhra Pradesh,19.49,78.95,958,11196
Malangūr,Andhra Pradesh,18.30,79.33,1669,43829
Malannapet,Andhra Pradesh,18.80,79.01,830,56085
Malanāyukanahalli,Andhra Pradesh,14.42,77.07,1922,18337
Malapadu,Andhra Pradesh,16.20,79.65,830,13230
Malapalle,Andhra Pradesh,15.83,77.33,1128,38282
Malapalle,Andhra Pradesh,17.32,81.71,147,10641
Malapalle,Andhra Pradesh,16.79,81.20,167,30404
Malapalle,Andhra Pradesh,17.06,82.21,52,172471
Malapalle,Andhra Pradesh,16.84,81.31,190,35314
Malapalle,Andhra Pradesh,16.51,81.29,42,42545
Malapalle,Andhra Pradesh,16.52,81.32,9,44535
Malapalle,Andhra Pradesh,16.90,81.55,72,71742
Malapalle,Andhra Pradesh,16.47,81.57,16,118768
Malapalle,Andhra Pradesh,17.80,80.88,157,17435
Malapalle,Andhra Pradesh,17.52,82.88,26,74025
Malapalle,Andhra Pradesh,16.83,80.94,164,35823
Malapalle,Andhra Pradesh,16.81,80.95,144,34124
Malapalle,Andhra Pradesh,17.83,83.22,95,64239
Malapalle,Andhra Pradesh,15.76,80.14,36,34845
Malapalle,Andhra Pradesh,15.81,80.10,62,29967
Malapalle,Andhra Pradesh,15.80,80.17,29,37281
Malapalle,Andhra Pradesh,15.56,80.11,16,74806
Malapallepalem,Andhra Pradesh,16.35,81.57,0,35981
Malapalli,Andhra Pradesh,16.23,77.96,997,33229
Malapannanagudi,Andhra Pradesh,15.05,76.80,1794,166650
Malapatturpalem,Andhra Pradesh,15.73,80.14,36,35085
Malapeta,Andhra Pradesh,19.09,78.16,1102,30648
Malapeta,Andhra Pradesh,18.52,83.96,22,51235
Malarangapalem,Andhra Pradesh,15.83,80.27,22,43929
Malareddipalle,Andhra Pradesh,17.19,77.57,1669,23907
Malasānikunta,Andhra Pradesh,16.93,81.28,249,31381
Malataduginna,Andhra Pradesh,15.68,77.64,1236,28095
Malavanpalle,Andhra Pradesh,14.66,77.77,1092,27448
Malayanūru,Andhra Pradesh,14.25,76.97,1955,115668
Malayapalem,Andhra Pradesh,18.20,78.67,1669,35839
Malchalma,Andhra Pradesh,17.58,77.61,1942,34921
Malchema,Andhra Pradesh,19.00,82.23,1807,21343
Maleguda,Andhra Pradesh,19.28,79.24,830,9262
Malepalle,Andhra Pradesh,16.25,80.25,830,44687
Malepalle,Andhra Pradesh,16.17,80.30,95,46132
Malepalle,Andhra Pradesh,16.02,80.32,22,36044
Malepalle,Andhra Pradesh,16.17,80.46,19,49497
Malepalle,Andhra Pradesh,16.00,80.50,19,74969
Malepalle,Andhra Pradesh,16.34,80.66,59,66303
Malepalle,Andhra Pradesh,16.39,80.74,29,39440
Malepalle,Andhra Pradesh,16.36,80.78,52,38720
Malepalle,Andhra Pradesh,16.31,80.81,65,36002
Malepalle,Andhra Pradesh,16.27,80.85,59,16878
Malepalle,Andhra Pradesh,16.28,80.90,55,39410
Malepalle,Andhra Pradesh,16.27,80.90,62,37078
Malepalle,Andhra Pradesh,16.34,80.83,42,83996
Malepalle,Andhra Pradesh,16.35,80.87,29,107652
Malepalle,Andhra Pradesh,16.33,80.90,22,87713
Malepalle,Andhra Pradesh,16.35,80.85,42,108325
Malepalle,Andhra Pradesh,16.37,80.88,19,141363
Malepalle,Andhra Pradesh,16.40,80.85,19,148238
Malepalle,Andhra Pradesh,16.40,80.88,19,136807
Malepalle,Andhra Pradesh,16.46,80.94,19,76177
Malepalle,Andhra Pradesh,16.34,80.95,16,65247
Malepalle,Andhra Pradesh,16.29,80.91,39,51632
Malepalle,Andhra Pradesh,15.58,80.01,29,58828
Malepalle,Andhra Pradesh,15.56,80.03,29,102700
Malepalle,Andhra Pradesh,15.52,80.09,19,132982
Malepalle,Andhra Pradesh,15.95,80.63,29,42042
Malepalle,Andhra Pradesh,16.00,80.59,32,61595
Malepalle,Andhra Pradesh,15.99,80.67,32,48495
Malepalle,Andhra Pradesh,15.99,80.71,32,42121
Malepalle,Andhra Pradesh,15.95,80.68,42,38719
Malepalle,Andhra Pradesh,15.96,80.68,36,40430
Malepur,Andhra Pradesh,19.51,78.94,954,10837
Malesunpalli,Andhra Pradesh,17.97,78.60,1824,30520
Malgira,Andhra Pradesh,16.49,78.55,1669,15988
Malgiripet,Andhra Pradesh,17.62,77.88,1765,42418
Malgundi,Andhra Pradesh,18.31,82.81,3349,14526
Malgurāyi,Andhra Pradesh,18.33,82.39,1696,9867
Malial,Andhra Pradesh,18.07,79.09,1669,30744
Malial,Andhra Pradesh,17.58,78.75,1702,21707
Maliapur,Andhra Pradesh,18.47,77.71,1177,25306
Malibanda Tānda,Andhra Pradesh,16.49,78.77,1223,16683
Malichedu,Andhra Pradesh,14.31,79.73,95,17674
Malicherla,Andhra Pradesh,18.07,83.40,170,244093
Malik Baodi,Andhra Pradesh,17.82,78.65,2011,39562
Malimgūda,Andhra Pradesh,18.35,82.91,3349,16868
Malinguda,Andhra Pradesh,18.43,82.82,3474,15593
Malipuram,Andhra Pradesh,17.46,79.47,990,37252
Maliputtu,Andhra Pradesh,18.51,82.51,2798,13177
Malivalasa,Andhra Pradesh,18.36,82.89,3349,16437
Maliyāl,Andhra Pradesh,19.10,79.08,830,14640
Maliāl,Andhra Pradesh,18.70,78.95,1003,45470
Maliāl,Andhra Pradesh,18.19,78.82,1669,38640
Maliāla,Andhra Pradesh,17.56,79.96,830,52547
Malkacharla,Andhra Pradesh,16.68,79.46,321,23665
Malkagudem,Andhra Pradesh,18.95,79.19,830,34568
Malkajgiri,Andhra Pradesh,17.45,78.54,1686,911265
Malkalapalli,Andhra Pradesh,18.32,79.62,830,33912
Malkangiri,Andhra Pradesh,17.21,77.52,1669,25788
Malkanūr,Andhra Pradesh,18.08,79.36,1010,36402
Malkapalem,Andhra Pradesh,18.01,82.74,1935,18928
Malkapalli,Andhra Pradesh,18.65,79.54,830,90856
Malkapet,Andhra Pradesh,17.85,79.18,1669,27695
Malkapet,Andhra Pradesh,18.45,78.73,1669,27709
Malkapet,Andhra Pradesh,18.10,79.69,994,50875
Malkapur,Andhra Pradesh,17.87,78.54,1876,33802
Malkapur,Andhra Pradesh,18.60,78.00,1669,54734
Malkapur,Andhra Pradesh,16.76,77.84,1669,31019
Malkapur,Andhra Pradesh,19.04,78.07,1187,18069
Malkapur,Andhra Pradesh,17.69,78.20,1669,30047
Malkapur,Andhra Pradesh,17.24,78.03,1948,28230
Malkapur,Andhra Pradesh,19.59,78.52,1069,31969
Malkapur,Andhra Pradesh,18.05,78.30,1669,46720
Malkapuram,Andhra Pradesh,18.02,77.89,1669,41401
Malkapuram,Andhra Pradesh,15.34,77.98,1669,20167
Malkaram,Andhra Pradesh,17.25,78.28,1827,20222
Malkarjanpalli,Andhra Pradesh,17.73,77.88,1735,25654
Malkarjungiri,Andhra Pradesh,17.60,77.87,1794,37474
Malkarput,Andhra Pradesh,18.13,82.59,3349,14214
Malkavaram,Andhra Pradesh,17.32,81.05,830,12095
Malkepalli,Andhra Pradesh,19.08,79.38,830,8276
Malkeshguda,Andhra Pradesh,17.01,78.66,1837,20560
Malkāpur,Andhra Pradesh,17.76,77.59,1968,37335
Malkāpur,Andhra Pradesh,17.27,78.80,1669,30453
Malkāpur,Andhra Pradesh,17.32,78.17,2040,25954
Malkāpur,Andhra Pradesh,17.58,78.06,1722,61009
Malkāpur,Andhra Pradesh,17.65,78.81,1797,19294
Malkāpur,Andhra Pradesh,18.57,77.81,1669,36823
Malkāpur,Andhra Pradesh,17.34,77.50,1669,33377
Malkāpur,Andhra Pradesh,16.84,77.96,1824,33281
Malkāpur,Andhra Pradesh,16.50,78.39,1669,32074
Malkāpur,Andhra Pradesh,19.53,78.53,1669,21783
Malkāpur,Andhra Pradesh,18.21,78.55,1669,40906
Malkāpur,Andhra Pradesh,18.47,79.07,964,104492
Malkāpuram,Andhra Pradesh,17.94,79.30,1148,36109
Malkāpuram,Andhra Pradesh,16.94,78.00,2509,27845
Malkāpuram,Andhra Pradesh,18.73,78.06,1204,119379
Malkāpuram,Andhra Pradesh,18.60,78.00,1669,54734
Malkāpuram,Andhra Pradesh,18.57,78.95,1177,34490
Malkāpuram,Andhra Pradesh,16.52,80.52,26,36084
Malkāpēt,Andhra Pradesh,17.63,78.61,1860,56468
Malkāram,Andhra Pradesh,17.53,78.58,1827,218642
Malpadi,Andhra Pradesh,18.03,82.77,3349,18842
Malparti,Andhra Pradesh,17.75,78.29,1847,30485
Malreddiguda,Andhra Pradesh,17.29,78.15,1998,25411
Malreddiguda,Andhra Pradesh,17.19,78.13,1991,25074
Malreddipalli,Andhra Pradesh,16.88,77.50,1847,18967
Malreddipalli,Andhra Pradesh,16.97,77.75,1669,37012
Malreddipet,Andhra Pradesh,17.72,77.90,1715,25473
Malsetiguda,Andhra Pradesh,17.22,78.62,1669,33041
Malsomawaram,Andhra Pradesh,17.46,77.76,1840,34649
Maltipalem,Andhra Pradesh,18.77,83.28,830,50265
Maltumeda,Andhra Pradesh,18.11,78.15,1669,33069
Maluguru,Andhra Pradesh,13.89,77.55,2024,55708
